sample_name,reference,northing,easting,location,suite,rock_name,rock_group,rock_origin,core,sio2,al2o3,fe2o3_tot,feo_tot,mno,mgo,cao,na2o,k2o,tio2,p2o5,so3,loi,sro,bao,nio,fe2o3,feo,cr2o3,ba_ppm,ce_ppm,co_ppm,cr_ppm,cu_ppm,ga_ppm,la_ppm,nb_ppm,nd_ppm,ni_ppm,pb_ppm,rb_ppm,sc_ppm,sr_ppm,th_ppm,u_ppm,v_ppm,y_ppm,zn_ppm,zr_ppm,Quartz_norm,Albite_norm,Anorthite_norm,Orthoclase_norm,Nepheline_norm,Leucite_norm,Kalsilite_norm,Corundum_norm,Diopside_norm,Enstatite_norm,Wollastonite_norm,Olivine_norm,Larnite_norm,Acmite_norm,K2SiO3_norm,Na2SiO3_norm,Rutile_norm,Ilmenite_norm,Magnetite_norm,Hematite_norm,Apatite_norm,Zircon_norm,Perovskite_norm,Chromite_norm,Sphene_norm,Pyrite_norm,Halite_norm,Fluorite_norm,Anhydrite_norm,Na2SO4_norm,Calcite_norm,Na2CO3_norm,Total_norm,quartz,orthoclase,plagioclase,perthite,biotite,hornblende,clinopyroxene,orthopyroxene,olivine,spinel,epidote,zircon,Score_1,Score_2,Score_3,Score_4,Score_5,Score_6,Score_7,rock_type
KK-mn020,Kromkhun(2010),66 69'91.3" N,36 30'10" E,mount_painter,mount_painter,granite,igneous,plutonic,0,64,18.43,1.04,NaN,0,3.56,0.14,8.99,0.15,0.49,0.04,0.01,1.71,,,,NaN,NaN,,48,135,42,2,0,26,61,69,61,1,3,11,5,34,84,5,10,212,4,787,5.613053597,81.59552833,0.452508874,0.994752987,0,0,0,2.348217723,0,8.19683511,0,0,0,0,0,0,0,0.550747297,0.097819658,0,0.081413917,0.097492268,0,0.00023775,0,0,0,0,0,0.018609572,0,0,100.01,0,0,0,0,0,0,0,0,0,0,0,0,2.74664378167331,-1.81209265838017,-5.24610999607645,0.180638769003813,2.99851495098114,3.99666206483493,-0.345430901257491,trachydacite
GJ-050,johnson_1991,,,widgiemooltha,madoonia_downs_intrusion,syenite,igneous,plutonic,0,65.08,15.49,NaN,<undefined>,0.07,2.53,2.49,7.77,0.61,0.36,0.18,NaN,1.03,,,,1.51,2.03,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.473575978,70.03198993,5.648466442,3.929829861,0,0,0,0,3.823899199,6.974447578,0,0,0,0,0,0,0,0.401705245,0.351660956,0,0.363713875,0,0,0,0,0,0,0,0,0,0,0,100,5,15,55,0,0,20,5,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,trachydacite
GJ-016,johnson_1991,,,gilgarna,<undefined>,syenite,igneous,plutonic,0,65.74,17.19,NaN,<undefined>,0.03,0.5,1.95,7.76,3.7,0.18,0.07,NaN,1.38,,,,1,0.45,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.689952294,67.56420314,1.116785387,23.02622708,0,0,0,0,4.80400065,0,0.332585035,0,0,0,0,0,0,0.194023642,0.135313065,0,0.136635185,0,0,0,0,0,0,0,0,0,0,0,99.99,2,85,0,0,3,0,6,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,trachyte
GJ-171,johnson_1991,,,<undefined>,<undefined>,<undefined>,igneous,plutonic,0,64.77,16.07,NaN,<undefined>,0.03,0.42,2.04,7.62,4.32,0.26,0.13,NaN,1.35,,,,2.09,0.26,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.007790203,61.00777177,0,27.19915102,0,0,0,0,6.270425248,0.043264289,0,0,0,0.625722015,0,1.305371214,0,0.283534583,0,0,0.256719232,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,trachyte
GJ-067,johnson_1991,,,twin_peaks_north,<undefined>,monzodiorite,igneous,plutonic,0,64.37,18.28,NaN,<undefined>,0.06,0.94,4.19,7.52,1.16,0.21,0.15,NaN,0.32,,,,2.05,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.812344565,66.32168124,12.56217989,7.312460439,0,0,0,0,4.774574508,1.502951758,0,0,0,0,0,0,0,0.229290427,0.187308288,0,0.2965789,0,0,0,0,0,0,0,0,0,0,0,100,2,0,85,0,0,1,9,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,trachydacite
GJ-022,johnson_1991,,,gilgarna,<undefined>,syenite,igneous,plutonic,0,67.94,15.58,NaN,<undefined>,0.05,0.5,1.82,7.18,3.69,0.2,0.05,NaN,1.48,,,,1.44,0.2,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.048897107,61.43641986,0,23.0083138,0,0,0,0,5.368217864,0,0.258079285,0,0,0.432996396,0,0.132889245,0,0.215997891,0,0,0.097784919,0,0,0,0,0,0,0,0,0,0,0,100,10,75,0,0,0,4,6,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,trachydacite
GJ-086,johnson_1991,,,leonora,<undefined>,syenite_porphyry,igneous,plutonic,0,64.86,17.63,NaN,<undefined>,0.09,0.26,0.56,7.11,5.53,0.21,0.07,NaN,0.52,,,,1.78,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.472805088,61.57400523,0,34.38562462,0,0,0,0,1.552218471,1.37522286,0,0,0,0.178060078,0,0,0,0.226168527,0.098645233,0,0.136519056,0,0,0,0,0,0,0,0,0,0,0,100,0,95,0,0,0,0,5,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,trachyte
GJ-023,johnson_1991,,,gilgarna,<undefined>,dyke,igneous,plutonic,0,68.16,16.27,NaN,<undefined>,0.05,0.29,1.19,6.82,4.78,0.15,0.04,NaN,1.01,,,,1.1,0.09,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.088410271,58.19302652,0,29.47767031,0,0,0,0,3.539562108,0,0.11200252,0,0,0.309156779,0,0.042201546,0,0.160220325,0,0,0.077369306,0,0,0,0,0,0,0,0,0,0,0,100.01,5,0,0,85,8,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,trachydacite
GJ-163,johnson_1991,,,widgiemooltha,binneringie_intrusion,syenite,igneous,plutonic,0,63.78,17.67,NaN,<undefined>,0.07,0.66,1.79,6.78,5.52,0.34,0.11,NaN,0.32,,,,2.06,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,57.62307377,1.441683732,34.3367248,0.765603448,1.29e-14,0,0,4.440747156,0,0,0.624957725,0,0,0,0,0,0.366319296,0.185731089,0,0.214612951,0,0,0,0,0,0,0,0,0,0,0,100.02,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,trachyte
FR-mr189,Robinson(2014),25 11'29.60'' N ,38 29'34.28'' E,saudi_arabia,mardabah_complex,syenite,igneous,plutonic,0,59.8,18.53,4.24,NaN,0.14,0.89,3.16,6.76,3.01,0.77,0.2,0.02,1.18,,,,NaN,NaN,,2656,102,33,0,1,22,51,64,44,0,4.2,45,6.6,625,5.8,3.2,7,32,68,314,0,60.84031341,10.98798696,20.54689128,0,0,0,0,2.559423434,2.054316318,0,1.400836065,0,0,0,0,0,0.858444401,0.395570421,0,0.403769774,0.038582489,0,0,0,0,0,0,0,0.036917436,0,0,99.99,0,82.367,0,0,5.633,12,0,0,0,0,0,0,-0.585442703122549,-5.72918823171623,-2.42646174924386,-0.378658693240345,1.33966193593702,2.18802782182118,2.39631687881457,trachyte
FR-mr190,Robinson(2014),25 11'27.94'' N ,38 29'33.98'' E ,saudi_arabia,mardabah_complex,syenite,igneous,plutonic,0,60.01,18.26,4.48,NaN,0.16,0.77,3.09,6.75,3.1,0.79,0.2,0.02,0.98,,,,NaN,NaN,,2220,106,30,0,13,22,52,59,42,1,3.3,41,7.3,594,4.2,3,5,32,65,1116,0,60.8155065,10.11912411,20.94939612,0,0,0,0,2.919751075,2.537354522,0,0.925604107,0,0,0,0,0,0.881401708,0.41827443,0,0.404072369,0.13723034,0,0,0,0,0,0,0,0.036945103,0,0,99.99,0,89.123,0,0,3,7.876,0,0,0,0,0,0,-0.434136552477952,-5.63722167399413,-2.02833997878361,-0.401795412008086,1.33880757975571,2.2071835730849,2.47904943853051,trachyte
JK-MZPJ1,Knight(1997),-32.19957,133.389813,point_james,st_peter_suite,<undefined>,igneous,plutonic,0,66.65,17.23,2.7,<undefined>,0.11,0.82,1.41,6.69,2.43,0.35,0.13,0.01,0.86,,,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.55051283,59.11607291,6.099477964,15.36594527,0,0,0,0.932138419,0,4.028134637,0,0,0,0,0,0,0,0.383338237,0.247465332,0,0.257833777,0,0,0,0,0,0,0,0,0.018134024,0,0,100.01,0,0,0,0,0,0,0,0,0,0,0,0,5.62816935830717,-2.27824017081472,-1.96060074692174,0.00135909277276293,1.33816601924516,2.17249714453175,1.60448406808959,trachydacite
HF-015,freeman_1995,,,<undefined>,<undefined>,<undefined>,igneous,plutonic,0,67.39,13.64,6.82,<undefined>,0.08,0.78,2.62,6.68,0.38,0.85,0.24,0,0.34,,,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.54413963,60.42015442,6.200313618,2.456733185,0,0,0,0,3.702551939,5.597830569,0,0,0,0,0,0,0,0.951819088,0.639081674,0,0.48666385,0,0,0,0,0,0,0,0,0,0,0,100.01,0,0,0,0,0,0,0,0,0,0,0,0,4.85357144802726,-0.814632476326226,3.28064211474892,0.358942104475635,1.75911770015168,2.82059622151505,-0.377036943029723,dacite
FR-mr191,Robinson(2014),25 11'29.42'' N,38 29'35.33'' E,saudi_arabia,mardabah_complex,syenite,igneous,plutonic,0,60.35,18.06,4.53,NaN,0.16,0.78,3.01,6.65,3.14,0.72,0.18,0.02,1.12,,,,NaN,NaN,,2185,90,55,0,10,22,46,56,39,0,5.4,41,7,571,4.3,1.2,8,29,71,236,0.488049367,59.92077229,9.909890592,21.20768022,0,0,0,0,2.877040569,4.038607113,0,0,0,0,0,0,0,0.803912666,0.423263757,0,0.363941216,0.029042067,0,0,0,0,0,0,0,0.03697315,0,0,99.99,0,85.56,0,0,4.44,10,0,0,0,0,0,0,-0.175350850519561,-5.39325146559137,-1.83606827674515,-0.393798405439329,1.24044301309501,2.17643733143464,2.50261252417383,trachyte
