reference,element,isotope,mass,half_life,abundance,heat_prod
hg17,K,40,39.96399817,1.248000e+03,1.170000e-04,2.790600e-05
hg17,Rb,87,86.909180531,4.970000e+04,2.783000e-01,4.007100e-08
hg17,Sm,147,147.9148290,7.000000e+06,1.124000e-01,7.300000e-09
hg17,Th,232,232.0380537,1.400000e+04,1.000000e+00,2.502890e-05
hg17,U,235,235.0439282,7.040000e+02,7.204000e-03,5.667770e-04
hg17,U,238,238.0507870,4.468000e+03,9.927420e-01,9.284000e-05
r88,K,40,39.96399817,1.230000e+03,1.170000e-04,2.974400e-05
r88,Rb,87,86.909180531,4.970000e+04,1.000000e+00,0.000000e+00
r88,Sm,147,147.9148290,7.000000e+06,1.000000e+00,0.000000e+00
r88,Th,232,232.0380537,1.390000e+04,1.000000e+00,2.560000e-05
r88,U,235,235.0439282,7.130000e+02,7.110000e-03,5.750000e-04
r88,U,238,238.0507870,4.510000e+03,9.928000e-01,9.170000e-05
ts14,K,40,39.96399817,1.250000e+03,1.190000e-04,2.920000e-05
ts14,Rb,87,86.909180531,4.970000e+04,1.000000e+00,0.000000e+00
ts14,Sm,147,147.9148290,7.000000e+06,1.000000e+00,0.000000e+00
ts14,Th,232,232.0380537,1.400000e+04,1.000000e+00,2.640000e-05
ts14,U,235,235.0439282,7.040000e+02,7.100000e-03,5.690000e-04
ts14,U,238,238.0507870,4.470000e+03,9.928000e-01,9.460000e-05
d12,K,40,39.96399817,1.280000e+03,1.170000e-04,2.847000e-05
d12,Rb,87,86.909180531,4.970000e+04,1.000000e+00,0.000000e+00
d12,Sm,147,147.9148290,7.000000e+06,1.000000e+00,0.000000e+00
d12,Th,232,232.0380537,1.400000e+04,1.000000e+00,2.628000e-05
d12,U,235,235.0439282,7.040000e+02,7.204000e-03,5.684700e-04
d12,U,238,238.0507870,4.460000e+03,9.927960e-01,9.513000e-05
