Symbol,Element,AWeight
H,Hydrogen,1.007975
He,Helium,4.002602
Li,Lithium,6.9675
Be,Beyllium,9.012182
B,Boron,10.8125
C,Carbon,12.0106
N,Nitrogen,14.006855
O,Oxygen,15.9994
F,Fluorine,18.9984032
Ne,Neon,20.1797
Na,Sodium,22.98976928
Mg,Magnesium,24.305
Al,Aluminium,26.9815386
Si,Silicon,28.0855
P,Phosphorus,30.973762
S,Sulfur,32.0675
Cl,Chlorine,35.4515
Ar,Argon,39.948
K,Potassium,39.0983
Ca,Calcium,40.078
Sc,Scandium,44.955912
Ti,Titanium,47.867
V,Vanadium,50.9415
Cr,Chromium,51.9961
Mn,Magnese,54.938045
Fe,Iron,55.845
Co,Cobalt,58.933195
Ni,Nickel,58.6934
Cu,Copper,63.546
Zn,Zinc,65.38
Ga,Gallium,69.723
Ge,Germanium,72.63
As,Arsenic,74.9216
Se,Selenium,78.96
Br,Bromine,79.904
Kr,Krypton,83.798
Rb,Rubidium,85.4678
Sr,Stronium,87.62
Y,Yttrium,88.90585
Zr,Zirconium,91.224
Nb,Niobium,92.90638
Mo,Molybdenum,95.96
Tc,Technetium,NA
Ru,Ruthenium,101.07
Rh,Rhodium,102.9055
Pd,Palladium,106.42
Ag,Silver,107.8682
Cd,Cadmium,112.411
In,Indium,114.818
Sn,Tin,118.71
Sb,Antimony,121.76
Te,Tellurium,127.6
I,Iodine,126.9045126
Xe,Xenon,131.293
Cs,Cesium,132.9054519
Ba,Barium,137.327
La,Lanthanum,138.90547
Ce,Cerium,140.116
Pr,Praseodymium,140.90765
Nd,Neodymium,144.242
Pm,Promethium,NA
Sm,Samarium,150.36
Eu,Europium,151.964
Gd,Gadolinium,157.25
Tb,Terbium,158.92535
Dy,Dysprosium,162.5
Ho,Holmium,164.93032
Er,Erbium,167.259
Tm,Thulium,168.93421
Yb,Ytterbium,173.054
Lu,Lutetium,174.9668
Hf,Hafnium,178.49
Ta,Tantalum,180.94788
W,Tungsten,183.84
Re,Rhenium,186.207
Os,Osmium,190.23
Ir,Iridium,192.217
Pt,Platinum,195.084
Au,Gold,196.966569
Hg,Mercury,200.59
Tl,Thallium,204.3835
Pb,Lead,207.2
Bi,Bismuth,208.9804
Po,Polonium,NA
At,Astatine,NA
Rn,Radon,NA
Fr,Francium,NA
Ra,Radium,NA
Ac,Actinium,NA
Th,Thorium,232.03806
Pa,Protactinium,231.03588
U,Uranium,238.02891
