lon,lat,x,y,x_boundary,gap_m
-178.289,-47.454,-14852881.178,-5056554.884,-14995395.393,142514.214
-178.314,-47.301,-14869339.267,-5040621.218,-15009946.459,140607.192
-178.348,-47.137,-14887691.643,-5023454.815,-15025553.435,137861.792
-178.266,-46.818,-14910587.302,-4990145.074,-15055640.459,145053.156
-178.077,-46.345,-14938493.618,-4940737.741,-15099825.285,161331.667
-177.782,-46.038,-14941868.021,-4908586.153,-15128320.911,186452.890
-177.463,-45.920,-14925828.942,-4896212.658,-15139237.828,213408.886
-177.226,-45.719,-14924183.735,-4875168.358,-15157745.541,233561.805
-176.943,-45.566,-14914185.588,-4859067.833,-15171857.497,257671.909
-176.494,-45.542,-14878481.383,-4856590.235,-15174025.559,295544.176
-176.270,-45.400,-14872286.634,-4841721.361,-15187017.779,314731.145
-175.597,-45.081,-14843909.859,-4808246.139,-15216155.588,372245.729
-175.136,-44.798,-14830073.999,-4778468.890,-15241955.854,411881.855
-174.767,-44.608,-14815514.219,-4758538.652,-15259160.172,443645.953
-174.417,-44.425,-14801920.182,-4739258.718,-15275751.358,473831.176
-174.117,-44.292,-14788104.464,-4725231.554,-15287788.668,499684.204
-173.767,-44.158,-14769973.826,-4711199.894,-15299800.242,529826.416
-173.294,-44.152,-14730324.291,-4710545.353,-15300359.810,570035.519
-172.731,-44.185,-14679634.913,-4714029.178,-15297380.714,617745.802
-172.135,-44.053,-14640386.753,-4700092.233,-15309287.061,668900.308
-171.573,-44.053,-14592528.260,-4700092.233,-15309287.061,716758.801
-170.927,-43.705,-14567183.853,-4663487.128,-15340407.782,773223.929
-170.381,-43.440,-14542950.351,-4635577.834,-15363979.219,821028.868
-170.017,-43.175,-14534043.460,-4607581.671,-15387478.617,853435.157
-169.583,-43.075,-14505305.522,-4597031.325,-15396294.804,890989.283
-169.150,-42.975,-14476505.924,-4586478.667,-15405090.548,928584.625
-168.900,-42.942,-14457856.735,-4582960.604,-15408017.835,950161.100
-168.733,-42.858,-14450440.552,-4574164.336,-15415325.757,964885.205
-168.642,-42.783,-14448740.299,-4566246.347,-15421890.123,973149.824
-168.508,-42.500,-14460426.613,-4536322.532,-15446576.075,986149.462
-168.508,-42.467,-14463134.137,-4532800.910,-15449468.242,986334.105
-168.642,-42.283,-14489437.300,-4513427.631,-15465328.144,975890.844
-168.700,-42.258,-14496470.279,-4510785.254,-15467484.589,971014.310
-169.033,-42.192,-14530506.901,-4503738.252,-15473227.621,942720.720
-169.517,-42.108,-14578801.475,-4494928.153,-15480390.909,901589.433
-170.117,-41.942,-14643892.862,-4477303.511,-15494664.731,850771.869
-170.900,-41.775,-14724806.971,-4459673.011,-15508866.324,784059.353
-171.150,-41.742,-14749039.301,-4456146.215,-15511697.775,762658.474
-171.417,-41.725,-14773366.741,-4454382.731,-15513112.378,739745.637
-172.050,-41.692,-14830652.005,-4450855.590,-15515939.325,685287.320
-172.450,-41.675,-14866484.970,-4449091.933,-15517351.665,650866.695
-172.900,-41.642,-14907989.424,-4445564.449,-15520174.067,612184.644
-173.317,-41.608,-14946630.421,-4442036.736,-15522993.417,576362.996
-173.617,-41.558,-14976575.568,-4436744.740,-15527216.678,550641.110
-174.267,-41.442,-15042160.124,-4424394.769,-15537043.739,494883.615
-175.250,-41.342,-15135209.351,-4413806.891,-15545436.138,410226.787
-175.867,-41.242,-15196638.267,-4403217.012,-15553799.591,357161.324
-177.067,-41.042,-15316697.232,-4382031.320,-15570437.698,253740.466
-178.400,-40.875,-15445683.702,-4364370.618,-15584210.013,138526.311
-179.467,-40.708,-15551679.580,-4346704.588,-15597895.567,46215.987
-179.683,-40.675,-15573176.527,-4343170.750,-15600622.066,27445.539
-179.999,-40.658,-15601897.297,-4341403.752,-15601983.974,86.678
-180.000,-40.650,-15602675.750,-4340505.710,-15602675.779,0.029
-179.996,-38.720,-15753568.243,-4135554.715,-15753934.227,365.984
-179.999,-37.159,-15867384.882,-3969363.863,-15867473.035,88.153
-179.811,-36.793,-15876360.578,-3930389.368,-15893048.278,16687.701
-179.625,-36.533,-15877833.958,-3902677.868,-15911006.955,33172.997
-179.371,-36.179,-15879497.107,-3864924.483,-15935181.715,55684.607
-179.044,-35.542,-15893004.476,-3797003.490,-15977864.691,84860.215
-178.539,-34.706,-15902362.747,-3707724.595,-16032493.150,130130.403
-178.294,-34.241,-15909909.126,-3658129.033,-16062142.544,152233.418
-177.981,-33.580,-15922879.135,-3587448.623,-16103506.803,180627.668
-177.810,-33.191,-15931087.245,-3545926.755,-16127302.762,196215.517
-177.719,-32.880,-15941510.975,-3512688.167,-16146075.154,204564.179
-177.666,-32.696,-15947544.030,-3493052.948,-16157047.073,209503.044
-177.666,-32.691,-15947826.154,-3492510.714,-16157348.815,209522.662
-177.428,-32.165,-15956998.386,-3436280.480,-16188269.244,231270.858
-177.301,-31.793,-15966587.297,-3396595.573,-16209641.872,243054.575
-177.057,-31.339,-15969777.096,-3348074.034,-16235254.541,265477.446
-176.919,-31.037,-15973774.520,-3315827.155,-16251953.796,278179.276
-176.690,-30.678,-15972290.675,-3277408.893,-16271505.583,299214.908
-176.547,-30.322,-15978006.591,-3239322.692,-16290512.931,312506.340
-176.309,-29.814,-15982316.322,-3185072.017,-16316927.405,334611.083
-176.153,-29.469,-15985311.460,-3148237.912,-16334414.190,349102.730
-176.078,-29.065,-15998090.060,-3105093.804,-16354435.027,356344.968
-175.995,-28.697,-16007972.908,-3065755.241,-16372255.595,364282.687
-175.892,-28.290,-16017352.541,-3022268.868,-16391472.727,374120.186
-175.887,-28.272,-16017764.621,-3020301.621,-16392330.095,374565.474
-175.885,-28.264,-16017939.893,-3019463.347,-16392695.118,374755.224
-175.785,-27.784,-16030267.300,-2968237.717,-16414643.536,384376.236
-175.695,-27.462,-16036073.762,-2933770.849,-16429015.303,392941.541
-175.608,-27.145,-16041605.177,-2899958.269,-16442804.467,401199.290
-175.542,-26.864,-16047221.273,-2869963.637,-16454779.717,407558.444
-175.486,-26.650,-16050844.374,-2847058.836,-16463761.673,412917.299
-175.423,-26.437,-16053674.271,-2824332.861,-16472534.210,418859.939
-175.415,-26.025,-16069129.139,-2780279.041,-16489144.286,420015.148
-175.385,-25.759,-16076566.907,-2751896.590,-16499569.273,423002.366
-175.316,-25.581,-16076919.686,-2732857.265,-16506441.092,429521.406
-175.212,-25.340,-16076224.694,-2707175.257,-16515555.971,439331.277
-175.203,-25.186,-16080992.818,-2690699.916,-16521309.852,440317.034
-175.194,-25.034,-16085608.505,-2674466.772,-16526907.711,441299.205
-175.228,-24.776,-16097858.121,-2646895.916,-16536254.367,438396.246
-175.197,-24.426,-16107073.796,-2609442.711,-16548638.641,441564.845
-175.138,-24.156,-16110708.727,-2580614.253,-16557940.697,447231.971
-175.053,-23.914,-16110837.020,-2554840.629,-16566097.739,455260.719
